0.826391,1.031124,guessZero
0.710076,0.904566,slopeOne
0.708409,0.923278,itemBasedCF,CosineSimilarity,5
0.727414,0.962241,itemBasedCF,CosineSimilarity,3
0.800241,1.152729,itemBasedCF,AdjustedCosineSimilarity,1
0.801356,1.153730,itemBasedCF,CosineSimilarity,1
0.691667,0.886435,itemBasedCF,AdjustedCosineSimilarity,20
0.705781,0.903431,itemBasedCF,CorrelationSimilarity,10
0.823651,1.179297,itemBasedCF,CorrelationSimilarity,1
0.741711,0.972893,itemBasedCF,CorrelationSimilarity,3
0.695212,0.896287,itemBasedCF,CosineSimilarity,10
0.691714,0.886479,itemBasedCF,CosineSimilarity,20
0.708433,0.923382,itemBasedCF,AdjustedCosineSimilarity,5
0.718960,0.929724,itemBasedCF,CorrelationSimilarity,5
0.706819,0.899543,itemBasedCF,CorrelationSimilarity,20
0.695206,0.896253,itemBasedCF,AdjustedCosineSimilarity,10
0.727235,0.961956,itemBasedCF,AdjustedCosineSimilarity,3
0.724248,0.920371,PLSA,2,1,true
0.724248,0.920371,PLSA,2,1,false
0.724253,0.920369,PLSA,2,3,true
0.724272,0.920394,PLSA,2,3,false
0.724262,0.920387,PLSA,2,5,true
0.724248,0.920373,PLSA,2,5,false
0.724248,0.920370,PLSA,2,10,true
0.724252,0.920378,PLSA,2,10,false
0.724248,0.920371,PLSA,5,1,true
0.724248,0.920371,PLSA,5,1,false
0.724438,0.920550,PLSA,5,3,true
0.724409,0.920493,PLSA,5,3,false
0.724505,0.920556,PLSA,5,5,true
0.724363,0.920466,PLSA,5,5,false
0.724336,0.920411,PLSA,5,10,true
0.724336,0.920416,PLSA,5,10,false
0.724248,0.920371,PLSA,10,1,true
0.724248,0.920371,PLSA,10,1,false
0.725672,0.921996,PLSA,10,3,true
0.725415,0.921486,PLSA,10,3,false
0.724248,0.920371,PLSA,15,1,true
0.725383,0.921607,PLSA,10,5,true
0.724248,0.920371,PLSA,15,1,false
0.725196,0.921450,PLSA,10,5,false
0.724577,0.920850,PLSA,10,10,true
0.724874,0.921073,PLSA,10,10,false
0.726741,0.923559,PLSA,15,3,false
0.727176,0.924434,PLSA,15,3,true
0.727816,0.924981,PLSA,15,5,true
0.726224,0.923307,PLSA,15,5,false
0.724248,0.920371,PLSA,25,1,true
0.724248,0.920371,PLSA,25,1,false
0.725093,0.922024,PLSA,15,10,true
0.725177,0.922062,PLSA,15,10,false
0.726513,0.924806,PLSA,25,3,true
0.726748,0.924780,PLSA,25,3,false
0.724248,0.920371,PLSA,40,1,true
0.728636,0.927434,PLSA,25,5,true
0.724248,0.920371,PLSA,40,1,false
0.727221,0.926066,PLSA,25,5,false
0.731698,0.931927,PLSA,25,10,true
0.725464,0.924417,PLSA,25,10,false
0.720739,0.918552,PLSA,40,3,true
0.717814,0.915051,PLSA,40,3,false
0.724248,0.920371,PLSA,60,1,true
0.724248,0.920371,PLSA,60,1,false
0.721281,0.919498,PLSA,40,5,true
0.723897,0.923559,PLSA,40,5,false
0.724248,0.920371,PLSA,80,1,true
0.724248,0.920371,PLSA,80,1,false
0.710449,0.906899,PLSA,60,3,true
0.715297,0.911939,PLSA,60,3,false
0.722682,0.923073,PLSA,40,10,true
0.718363,0.917475,PLSA,40,10,false
0.716089,0.914036,PLSA,60,5,true
0.710020,0.907348,PLSA,60,5,false
0.720436,0.918102,PLSA,80,3,true
0.711178,0.908057,PLSA,80,3,false
0.718483,0.917287,PLSA,60,10,false
0.721561,0.920479,PLSA,60,10,true
0.713463,0.910426,PLSA,80,5,true
0.712012,0.908665,PLSA,80,5,false
0.724540,0.923872,PLSA,80,10,true
0.723201,0.920620,PLSA,80,10,false
